Well,Mean Intensity 405nm,Mean Intensity 488nm,Mean Intensity 561nm,Mean Intensity 640nm,Mean Intensity CyOFP405FR,Mean Intensity CyOFP488FR,Mean Intensity LSSmOrange,Mean Intensity TagRFP675,Mean Intensity mTsapphire
13,325.7930783757339,122.47776610567514,100.29179216829736,111.97568538160482,109.12084970645786,109.81637549902158,202.77295774951085,125.05502792563601,1236.498028434442
14,278.2164100708467,119.17555680127572,100.17512624229535,111.81829670917462,106.99348262132482,108.11953413389993,180.5037255189514,119.67141321997894,1053.0931119022325
15,277.01494481285306,119.27084423022603,100.17403866949145,111.82562284251429,106.9837612782484,107.9788036193505,180.75985041313555,120.25960995056502,1044.766871144068
16,104.96337344552191,102.60422150598967,119.58805451968038,112.43691897318865,102.22109592127804,114.2026666514547,103.14666459783201,121.05943772390191,112.1304422589846
17,105.41117788157898,102.51814453947384,132.740085982456,112.4597383377194,102.2434884473684,118.99051243859655,103.14759715789471,128.33447470614018,112.207061236842
18,104.77448201371884,102.32123557079863,112.10878649926514,111.9079541989223,101.9079242675158,110.77901779029865,102.54944107300332,114.2646838804506,110.61333124938737
19,104.92861989514554,102.3820573980583,100.40448197592232,112.93636128543713,101.82140485825234,106.52487495534004,102.42984457864068,106.78293769708726,111.01763655145636
20,104.72215540540547,102.64913239382228,100.30118355868731,113.07902934362947,101.88962529343641,106.7005623281855,102.54381513899607,107.55783137451735,111.06153928185338
21,105.00683199093547,102.8233061702818,100.51310482874707,113.49022732275846,101.94274725801239,106.89463628358713,102.6959953253477,108.40408333441233,111.7079885594045
22,106.27694975824886,141.57166393662163,100.66211827017317,111.6390327768704,103.15253996406416,108.27802430578251,129.0289004083634,130.51086393988896,564.9573734857902
23,106.10767082535347,135.23455955312357,100.82431714318281,111.63560292749636,102.90689605563156,107.90390340173289,124.81976294117665,126.95784153214778,497.722638454173
24,106.9505365996134,160.3318860696325,100.79025063907156,111.77810758994221,103.71440010058033,109.11571743133463,141.27265655706017,141.93814999613176,768.3048104796901
48,105.07774284472544,105.3385591742395,101.2667895353616,111.64399956934018,102.12124656262358,107.39360691031222,104.56760085341752,112.0839767601736,139.46777249703672
47,104.74570441797519,104.81361466161344,101.43917771088235,111.64199611802924,102.08811087168378,107.30802365457505,104.09346814834849,111.59062314564139,131.64007558743916
46,104.95319001305477,104.7784685998692,101.01247918472554,111.735625313316,102.05522652741521,107.17979707898171,104.07088478459549,110.72931491514363,133.86910141644879
45,104.24968595044392,101.77763538831368,100.70156965532534,111.47951458579877,101.61492820266275,106.10398746671606,101.89972683062109,104.52643047337266,108.63853156434928
44,104.7930947630148,102.41592092074586,100.50753232439781,111.73115466200458,101.79841806138323,106.55761435897409,102.40248620435128,106.85306456099468,110.70347548174028
43,104.71038910095787,102.41971173544614,100.38477923949891,111.79995963890917,101.8040251584378,106.6208878150335,102.43007788135579,107.09529623434045,110.69455646647029
42,113.25045228316746,133.2128311415838,4941.389635094276,114.9285819677752,104.23126651696963,933.2449132773429,111.69648034281785,3039.3046314432663,124.02896217003777
41,111.13645377789315,125.97041312402692,3758.1678356824136,114.17202654904,103.55479039439527,682.1802052568751,108.95562274519988,2135.1177270731732,120.41093823559925
40,108.41579813636379,115.58623655454547,2343.4257527954514,113.14358918636363,102.82063839999982,478.72215359090933,106.33562156363628,1394.220781413638,115.69243864999983
39,106.24103282398457,102.98892865570609,100.12085431721472,111.43959705029005,101.95403942940038,106.85894341392641,103.22635659574458,108.22807587040617,118.41975483559004
38,106.27089001398616,103.1320421398601,100.157449462238,111.64422495104894,102.09307590209795,107.04326366433575,103.32041487412602,108.79456124475516,118.7607901678323
37,106.44056093975917,103.11521746987955,100.11669959277107,111.65338325301207,101.86334886746984,106.62900359036138,103.23332995180711,107.92361002409643,119.08475431325306
61,141.31937690769232,103.22899458974341,100.16507624615394,111.8052082717948,102.15959294358976,107.37460284102573,104.44241301538435,109.7614612974359,144.51478353333323
62,113.83047683878372,102.47286589213992,100.17305414343079,111.5053241939187,101.90839947791147,106.81523824440644,102.85823683878367,107.1273850545038,119.39182056798609
63,106.8289384972168,102.9556248608534,100.16337023995044,111.64572409400138,101.95846623376625,106.98269261595546,102.9975688682745,108.86785613481734,114.19754388373505
64,104.79701759236451,102.4975766748767,110.56460629926129,111.51379687807881,101.76519820197052,110.49153423645305,102.46852700738893,121.86709285098527,110.88543762315265
65,104.51963608536035,101.95320559889836,105.09820404451615,111.44114729692514,101.72290776961917,108.92337679210682,102.13905740247831,113.9441788664525,109.5890357916476
66,104.70740985847439,102.35893371418695,109.54391650742127,111.39787644459757,101.85619242319619,110.94690693476032,102.44370243010005,122.10317288229233,110.58582961339314
